"pubid","member","year"
"25599085","Gilbert, Peter","2014"
"25454855","Gilbert, Peter","2014"
"25405724","Gilbert, Peter","2014"
"25369172","Gilbert, Peter","2014"
"25352131","Gilbert, Peter","2014"
"25267551","Gilbert, Peter","2014"
"25253665","Gilbert, Peter","2014"
"24829343","Gilbert, Peter","2014"
"24823623","Gilbert, Peter","2014"
"24560541","Gilbert, Peter","2014"
"24504509","Gilbert, Peter","2014"
"25599085","Gottardo, Raphael","2014"
"25481008","Gottardo, Raphael","2014"
"25378466","Gottardo, Raphael","2014"
"25268493","Gottardo, Raphael","2014"
"25167361","Gottardo, Raphael","2014"
"25032992","Gottardo, Raphael","2014"
"24838567","Gottardo, Raphael","2014"
"24829343","Gottardo, Raphael","2014"
"25642360","Halloran, M. Elizabeth","2014"
"25620841","Halloran, M. Elizabeth","2014"
"25502594","Halloran, M. Elizabeth","2014"
"25489850","Halloran, M. Elizabeth","2014"
"25473851","Halloran, M. Elizabeth","2014"
"25411971","Halloran, M. Elizabeth","2014"
"25342792","Halloran, M. Elizabeth","2014"
"25214617","Halloran, M. Elizabeth","2014"
"24845800","Halloran, M. Elizabeth","2014"
"24766139","Halloran, M. Elizabeth","2014"
"25447153","He, Qianchuan","2014"
"24578634","He, Qianchuan","2014"
"25491770","Henikoff, Steven","2014"
"25314073","Henikoff, Steven","2014"
"25297728","Henikoff, Steven","2014"
"25247700","Henikoff, Steven","2014"
"25150594","Henikoff, Steven","2014"
"25093523","Henikoff, Steven","2014"
"24819949","Henikoff, Steven","2014"
"24737864","Henikoff, Steven","2014"
"24737863","Henikoff, Steven","2014"
"24714495","Henikoff, Steven","2014"
"24696452","Henikoff, Steven","2014"
"24606920","Henikoff, Steven","2014"
"24498936","Henikoff, Steven","2014"
"24389542","Henikoff, Steven","2014"
"25462438","Hill, Joshua","2014"
"25285614","Hill, Joshua","2014"
"25255164","Hill, Joshua","2014"
"25066883","Hill, Joshua","2014"
"25342387","Hsu, Li","2014"
"25192705","Hsu, Li","2014"
"25187575","Hsu, Li","2014"
"25105248","Hsu, Li","2014"
"25027330","Hsu, Li","2014"
"25018574","Hsu, Li","2014"
"24994789","Hsu, Li","2014"
"24777453","Hsu, Li","2014"
"24743840","Hsu, Li","2014"
"24562164","Hsu, Li","2014"
"23880798","Hsu, Li","2014"
"27446505","Huang, Ying","2014"
"25190513","Huang, Ying","2014"
"25190512","Huang, Ying","2014"
"25124089","Huang, Ying","2014"
"24889787","Huang, Ying","2014"
"24889663","Huang, Ying","2014"
"24747429","Huang, Ying","2014"
"24552750","Huang, Ying","2014"
"25454855","Janes, Holly","2014"
"25190512","Janes, Holly","2014"
"24889787","Janes, Holly","2014"
"24889663","Janes, Holly","2014"
"24829343","Janes, Holly","2014"
"24681599","Janes, Holly","2014"
"25363767","Kemp, Christopher","2014"
"25125259","Kemp, Christopher","2014"
"24886322","Kemp, Christopher","2014"
"24794443","Kemp, Christopher","2014"
"25237102","Kiem, Hans-Peter","2014"
"25186558","Kiem, Hans-Peter","2014"
"25062639","Kiem, Hans-Peter","2014"
"24981438","Kiem, Hans-Peter","2014"
"24937231","Kiem, Hans-Peter","2014"
"24914132","Kiem, Hans-Peter","2014"
"24776797","Kiem, Hans-Peter","2014"
"24714473","Kiem, Hans-Peter","2014"
"24704161","Kiem, Hans-Peter","2014"
"24642749","Kiem, Hans-Peter","2014"
"24512963","Kiem, Hans-Peter","2014"
"26052523","Kiem, Hans-Peter","2014"
"25644336","Kooperberg, Charles","2014"
"25542012","Kooperberg, Charles","2014"
"25493640","Kooperberg, Charles","2014"
"25487149","Kooperberg, Charles","2014"
"25383972","Kooperberg, Charles","2014"
"25327703","Kooperberg, Charles","2014"
"25320178","Kooperberg, Charles","2014"
"25282103","Kooperberg, Charles","2014"
"25187575","Kooperberg, Charles","2014"
"25166880","Kooperberg, Charles","2014"
"25139936","Kooperberg, Charles","2014"
"25096241","Kooperberg, Charles","2014"
"25086665","Kooperberg, Charles","2014"
"25080503","Kooperberg, Charles","2014"
"25027330","Kooperberg, Charles","2014"
"25027329","Kooperberg, Charles","2014"
"25011450","Kooperberg, Charles","2014"
"24832084","Kooperberg, Charles","2014"
"24777453","Kooperberg, Charles","2014"
"24681604","Kooperberg, Charles","2014"
"24662972","Kooperberg, Charles","2014"
"24598796","Kooperberg, Charles","2014"
"24507775","Kooperberg, Charles","2014"
"24507774","Kooperberg, Charles","2014"
"24493794","Kooperberg, Charles","2014"
"24480881","Kooperberg, Charles","2014"
"25540245","LeBlanc, Michael","2014"
"25422100","LeBlanc, Michael","2014"
"25395425","LeBlanc, Michael","2014"
"25125258","LeBlanc, Michael","2014"
"26997922","LeBlanc, Michael","2014"
"24914040","LeBlanc, Michael","2014"
"24627276","LeBlanc, Michael","2014"
"24625415","LeBlanc, Michael","2014"
"24692500","Luebeck, Georg","2014"
"25342387","Ma, Jing","2014"
"25217961","Ma, Jing","2014"
"25027329","Ma, Jing","2014"
"24994789","Ma, Jing","2014"
"24670869","Ma, Jing","2014"
"25490443","MacPherson, David","2014"
"25122427","MacPherson, David","2014"
"25102857","Matsen, Frederick","2014"
"24586139","Matsen, Frederick","2014"
"24482762","Matsen, Frederick","2014"
"25167361","Newell, Evan","2014"
"25545726","Othus, Megan","2014"
"25536215","Othus, Megan","2014"
"25527568","Othus, Megan","2014"
"25145343","Othus, Megan","2014"
"25008258","Othus, Megan","2014"
"25644336","Peters, Ulrike","2014"
"25342387","Peters, Ulrike","2014"
"25288136","Peters, Ulrike","2014"
